# tcksift /media/andraderenew/Elements/neuroimaging/diffusion-mri_mrtrix3_fsl_single_subject/derivatives/tracks_500k.tck /media/andraderenew/Elements/neuroimaging/diffusion-mri_mrtrix3_fsl_single_subject/derivatives/wm_fod.mif /media/andraderenew/Elements/neuroimaging/diffusion-mri_mrtrix3_fsl_single_subject/derivatives/tracks_sift_100k.tck -term_number 100000 -csv /home/andraderenew/github/diffusion-mri_mrtrix3_fsl_single_subject/results/tables/tcksift_iterations.csv -out_mu /home/andraderenew/github/diffusion-mri_mrtrix3_fsl_single_subject/results/tables/tcksift_mu.txt -nthreads 12 -force  (version=3.0.3)
#Iteration,Removed this iteration,Total removed,Remaining,Cost,TD,Mu,Recalculation,
200,269,203166,296834,11695.712979815011,15977807.085706525,0.017517457255957391,Non-linearity,
201,330,203496,296504,11683.784999855707,15954760.815791897,0.017542760803456466,Non-linearity,
202,242,203738,296262,11674.906189923884,15937690.027003102,0.017561550776403659,Non-linearity,
203,237,203975,296025,11667.894797085704,15924231.429439358,0.017576393178408565,Non-linearity,
204,458,204433,295567,11651.075578380294,15891205.047936253,0.017612921853534688,Non-linearity,
205,273,204706,295294,11641.331273016793,15872544.009477429,0.017633629020066079,Non-linearity,
206,208,204914,295086,11634.791643424582,15860073.46272736,0.017647494087941386,Non-linearity,
207,197,205111,294889,11627.578207317083,15846207.545780949,0.017662936185782699,Non-linearity,
208,269,205380,294620,11619.294871343758,15830170.592463307,0.017680829845324104,Non-linearity,
209,196,205576,294424,11612.530552121789,15816967.14227467,0.017695589182816343,Non-linearity,
210,265,205841,294159,11603.531998568635,15799165.411359601,0.017715527711771147,Non-linearity,
211,232,206073,293927,11595.85749397423,15784254.83176785,0.017732262666241384,Non-linearity,
212,140,206213,293787,11591.078239353295,15774928.593865208,0.017742746092470126,Non-linearity,
213,323,206536,293464,11578.519659860547,15749973.40122395,0.017770858752437418,Non-linearity,
214,47,206583,293417,11576.948006055141,15746954.804811291,0.0177742653190495,Non-linearity,
215,93,206676,293324,11574.278415944113,15741796.829067998,0.01778008925581898,Non-linearity,
216,48,206724,293276,11572.921105813875,15739174.063273244,0.017783052118402518,Non-linearity,
217,287,207011,292989,11563.443647359423,15720340.867890172,0.017804356471652089,Non-linearity,
218,498,207509,292491,11545.982962860386,15684926.710140996,0.017844555976588378,Non-linearity,
219,177,207686,292314,11540.62136573174,15674548.034185223,0.017856371492011965,Non-linearity,
220,203,207889,292111,11534.638301746065,15662726.763521962,0.017869848391893945,Non-linearity,
221,252,208141,291859,11527.195015624024,15647903.341220669,0.017886776685953336,Non-linearity,
222,59,208200,291800,11525.152840625222,15643850.232883267,0.017891410905959016,Non-linearity,
223,143,208343,291657,11520.082183776794,15633745.354223065,0.017902975027810068,Quantisation,
224,404,208747,291253,11505.226573718572,15603391.207970433,0.01793780268258769,Non-linearity,
225,162,208909,291091,11499.513174978243,15592090.08613091,0.017950803973147803,Non-linearity,
226,139,209048,290952,11494.964169889339,15583034.478542142,0.017961235538123645,Quantisation,
227,182,209230,290770,11489.92223845962,15572917.071469121,0.01797290458706545,Non-linearity,
228,134,209364,290636,11485.306556769479,15563699.738502316,0.017983548730086903,Non-linearity,
229,397,209761,290239,11471.608985044437,15535360.971195988,0.018016353349416241,Quantisation,
230,105,209866,290134,11468.210492541722,15528599.916490369,0.018024197556314882,Non-linearity,
231,241,210107,289893,11461.144399423309,15514329.585875325,0.018040776503975866,Quantisation,
232,137,210244,289756,11457.097584507845,15506165.107822232,0.018050275533736174,Non-linearity,
233,104,210348,289652,11453.544543415972,15498979.573046498,0.018058643883532881,Non-linearity,
234,115,210463,289537,11449.792435872083,15491310.008020215,0.018067584505305961,Non-linearity,
235,140,210603,289397,11445.412426855773,15482385.544655614,0.018077999146870038,Non-linearity,
236,259,210862,289138,11436.437286953666,15463875.02795773,0.01809963881380135,Quantisation,
237,245,211107,288893,11428.522827582465,15447667.653800778,0.018118628581378905,Non-linearity,
238,197,211304,288696,11422.394205569821,15435151.793440633,0.018133320385403679,Non-linearity,
239,397,211701,288299,11408.97661092116,15406673.609748654,0.018166838589395117,Non-linearity,
240,170,211871,288129,11403.191346684021,15394956.595862202,0.018180665266898193,Non-linearity,
241,111,211982,288018,11399.856530357429,15388275.234903149,0.018188559042208913,Non-linearity,
242,123,212105,287895,11395.970590546842,15380342.03668385,0.018197940722009087,Quantisation,
243,210,212315,287685,11388.938657348164,15365904.067091756,0.018215039703861107,Quantisation,
244,210,212525,287475,11381.777724695205,15351201.911983304,0.018232484614075187,Non-linearity,
245,212,212737,287263,11376.109233305046,15339549.285465054,0.018246334847204844,Non-linearity,
246,135,212872,287128,11371.634991338809,15330270.084763341,0.018257379101623176,Non-linearity,
247,100,212972,287028,11368.786819030751,15324419.953338437,0.018264348896730856,Non-linearity,
248,169,213141,286859,11363.547758063325,15313540.750190549,0.018277324443356738,Non-linearity,
249,309,213450,286550,11353.751556574272,15292735.811283879,0.018302189753469585,Non-linearity,
250,86,213536,286464,11350.804293960136,15286636.032521062,0.018309492819241137,Non-linearity,
251,124,213660,286340,11347.066125473088,15278880.643874936,0.018318786512675649,Non-linearity,
252,70,213730,286270,11344.712771853932,15274024.251599126,0.018324610990354675,Quantisation,
253,345,214075,285925,11334.493585452661,15252324.428881459,0.01835068182380141,Quantisation,
254,139,214214,285786,11330.084924285586,15243206.615968518,0.018361658391128067,Quantisation,
255,225,214439,285561,11323.311949662359,15228915.001788907,0.018378889936342745,Quantisation,
256,232,214671,285329,11316.306895501975,15214022.25939732,0.018396880712785588,Non-linearity,
257,228,214899,285101,11309.584825946955,15199869.08896523,0.018414010741118262,Non-linearity,
258,197,215096,284904,11303.139551161941,15186276.772822194,0.018430492006355208,Non-linearity,
259,228,215324,284676,11295.451721738433,15169849.857682042,0.01845044976012469,Non-linearity,
260,272,215596,284404,11287.900822818225,15153707.726276211,0.018470103668587513,Quantisation,
261,150,215746,284254,11282.671133129767,15142639.140267186,0.018483604481038873,Non-linearity,
262,101,215847,284153,11279.814505321827,15136652.145924382,0.018490915294182744,Non-linearity,
263,38,215885,284115,11278.49976364686,15133885.767514043,0.018494295316316058,Non-linearity,
264,176,216061,283939,11273.697032046,15123566.521138959,0.018506914508332428,Quantisation,
265,180,216241,283759,11267.719711868591,15110646.62872868,0.01852273827485737,Quantisation,
266,158,216399,283601,11263.226229862736,15101054.968366437,0.018534503268421286,Quantisation,
267,325,216724,283276,11253.086091688221,15078961.853004269,0.018561659310255035,Quantisation,
268,226,216950,283050,11246.24730019946,15064299.579155736,0.018579725608688633,Non-linearity,
269,133,217083,282917,11242.553119243306,15056470.136666112,0.018589387162280264,Non-linearity,
270,221,217304,282696,11236.261205529505,15042822.066560559,0.018606252964327743,Non-linearity,
271,172,217476,282524,11230.878741969553,15031205.75442677,0.018620632119640032,Quantisation,
272,205,217681,282319,11224.934420850579,15018135.963111691,0.018636837045241741,Non-linearity,
273,220,217901,282099,11218.310565206657,15003634.23067265,0.018654850442541681,Non-linearity,
274,63,217964,282036,11216.295870809399,14999361.33327084,0.018660164686276196,Non-linearity,
275,285,218249,281751,11208.078951333155,14981382.949161343,0.018682557786393508,Non-linearity,
276,147,218396,281604,11204.053291223421,14972702.391060643,0.018693389166334066,Quantisation,
277,28,218424,281576,11203.095129327981,14970619.929684453,0.018695989476883116,Non-linearity,
278,245,218669,281331,11195.587052116647,14954232.709334187,0.018716477007415706,Quantisation,
279,106,218775,281225,11192.217823635479,14946977.504871182,0.018725561912204765,Quantisation,
280,85,218860,281140,11189.730393158667,14941654.251227193,0.018732233256221219,Non-linearity,
281,123,218983,281017,11186.348679513947,14934251.452951245,0.018741518686059513,Non-linearity,
